College Name,Country of Citizenship Name,Head Count - Fall
George Brown College,LIBYA,N/A
George Brown College,LITHUANIA,N/A
George Brown College,MACEDONIA (FYROM),N/A
George Brown College,MALAYSIA,N/A
George Brown College,MAURITIUS,N/A
George Brown College,MEXICO,28
George Brown College,"MOLDOVA, REPUBLIC OF",N/A
George Brown College,MONGOLIA,N/A
George Brown College,MOROCCO,N/A
George Brown College,MYANMAR,N/A
George Brown College,NAMIBIA,N/A
George Brown College,NEPAL,21
George Brown College,NETHERLANDS,N/A
George Brown College,NEW ZEALAND,N/A
George Brown College,NIGERIA,29
George Brown College,NOT REPORTED,405
George Brown College,OMAN,N/A
George Brown College,PAKISTAN,39
George Brown College,PALESTINIAN TERRITORY OCCUPIED,N/A
George Brown College,PARAGUAY,N/A
George Brown College,PERU,11
George Brown College,PHILIPPINES,217
George Brown College,POLAND,N/A
George Brown College,PORTUGAL,11
George Brown College,ROMANIA,N/A
George Brown College,RUSSIAN FEDERATION,14
George Brown College,RWANDA,N/A
George Brown College,SAUDI ARABIA,N/A
George Brown College,SENEGAL,N/A
George Brown College,SERBIA,N/A
George Brown College,SIERRA LEONE,N/A
George Brown College,SINGAPORE,N/A
George Brown College,SLOVAKIA,N/A
George Brown College,SOMALIA,N/A
George Brown College,SOUTH AFRICA,N/A
George Brown College,SPAIN,N/A
George Brown College,SRI LANKA,30
George Brown College,ST LUCIA,18
George Brown College,ST VINCENT AND THE GRENADINES,17
George Brown College,SUDAN,N/A
George Brown College,SURINAME,N/A
George Brown College,SWAZILAND,N/A
George Brown College,SWEDEN,N/A
George Brown College,SWITZERLAND,N/A
George Brown College,Syria,N/A
George Brown College,TAIWAN,15
George Brown College,TANZANIA UNITED REPUBLIC OF,N/A
George Brown College,THAILAND,N/A
George Brown College,TRINIDAD AND TOBAGO,N/A
George Brown College,TURKEY,10
George Brown College,UGANDA,N/A
George Brown College,UKRAINE,24
George Brown College,UNITED KINGDOM,13
George Brown College,UNITED STATES,25
George Brown College,URUGUAY,N/A
George Brown College,UZBEKISTAN,N/A
George Brown College,VENEZUELA,N/A
George Brown College,VIET NAM,17
George Brown College,YEMEN,N/A
George Brown College,ZAMBIA,N/A
George Brown College,ZIMBABWE,15
Georgian College,ARGENTINA,N/A
Georgian College,AUSTRALIA,N/A
Georgian College,BANGLADESH,N/A
Georgian College,BELARUS,N/A
Georgian College,BULGARIA,N/A
Georgian College,CAMBODIA,N/A
Georgian College,CAMEROON,N/A
Georgian College,CANADA,8292
Georgian College,CHINA,N/A
Georgian College,COLOMBIA,N/A
Georgian College,"CONGO, DEMOCRATIC REPUBLIC OF THE",N/A
Georgian College,CZECH REPUBLIC,N/A
Georgian College,DENMARK,N/A
Georgian College,DOMINICAN REPUBLIC,N/A
Georgian College,ECUADOR,N/A
Georgian College,EGYPT,N/A
Georgian College,ERITREA,N/A
Georgian College,ESTONIA,N/A
Georgian College,ETHIOPIA,N/A
Georgian College,FRANCE,N/A
Georgian College,GERMANY,N/A
Georgian College,GHANA,N/A
Georgian College,GRENADA,N/A
Georgian College,HAITI,N/A
Georgian College,HUNGARY,N/A
Georgian College,INDIA,16
Georgian College,IRAN,N/A
Georgian College,IRAQ,N/A
Georgian College,IRELAND REPUBLIC OF (EIRE),N/A
Georgian College,JAMAICA,N/A
Georgian College,KENYA,N/A
Georgian College,KOREA SOUTH,N/A
Georgian College,LAOS,N/A
Georgian College,MALAYSIA,N/A
Georgian College,MEXICO,N/A
Georgian College,NEPAL,N/A
Georgian College,NETHERLANDS,N/A
Georgian College,NETHERLANDS ANTILLES,N/A
Georgian College,NEW ZEALAND,N/A
Georgian College,NIGERIA,N/A
Georgian College,NOT REPORTED,12
Georgian College,PAKISTAN,N/A
Georgian College,PALESTINIAN TERRITORY OCCUPIED,N/A
Georgian College,PERU,N/A
Georgian College,PHILIPPINES,15
Georgian College,POLAND,N/A
Georgian College,ROMANIA,N/A
Georgian College,RUSSIAN FEDERATION,N/A
Georgian College,SLOVAKIA,N/A
