S_MTCU,COLL_RGN_CD,COLL_CD,APSKey,APS_NAME,GRAD_OUT,STUD_SAT,GRAD_RATE
A-61007,SW,FANS,FANS01059,Mechanical Engineering Technology - Mobile Equipment,TRUE,FALSE,TRUE
A-61007,GTA,HUMB,HUMB01061,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,SE,LACI,LACI01064,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,CE,CONS,CONS01065,Mechanical Engineering Technology - Design And Analysis,TRUE,TRUE,TRUE
A-61007,GTA,CENT,CENT01065,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,CE,CONS,CONS01066,Mechanical Engineering Technology - Automated Manufacturing,TRUE,TRUE,TRUE
A-61007,GTA,CENT,CENT01066,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,CE,CONS,CONS01077,Mechanical Engineering Technology - Robotics And Automation,TRUE,TRUE,TRUE
A-61007,CE,GEOR,GEOR01121,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,GTA,SHER,SHER01122,Mechanical Engineering Technology - Design And Drafting,TRUE,TRUE,TRUE
A-61007,SW,STCL,STCL01126,Mechanical Engineering Technology - Mechatronics,TRUE,TRUE,TRUE
A-61007,CE,GEOR,GEOR01139,Mechanical Engineering Technology - Automotive Products Design,TRUE,TRUE,TRUE
A-61007,SW,STCL,STCL01154,Mechanical Engineering Technology - Automotive Product Design,TRUE,TRUE,TRUE
A-61007,N,SAUL,SAUL01188,Mechanical Engineering Technology,TRUE,TRUE,TRUE
A-61007,GTA,SENE,SENE01219,Mechanical Engineering Technology - Building Sciences,TRUE,TRUE,TRUE
A-61007,GTA,SENE,SENE01279,Mechanical Engineering Technology - Industrial Design,TRUE,TRUE,TRUE
A-61011,SW,LAMB,LAMB01015,Instrumentation Engineering Technology - Industrial,TRUE,TRUE,TRUE
A-61011,SE,SLAW,SLAW01035,Control Engineering Technology,TRUE,TRUE,TRUE
A-61011,N,CAMB,CAMB01097,Instrumentation Engineering Technology - Industrial,TRUE,TRUE,TRUE
A-61020,CE,NIAG,NIAG01178,Photonics Engineering Technology,TRUE,TRUE,TRUE
