Variable Name (Nom de la variable),Description English,Description français,Code,Code Description English,Description du code français
,,,,,
#AGGR_TYPE_CD,Aggregation level of record,Niveau de l'enregistrement de l'agrégation,Cl,Occupational cluster,Groupe de programme 
,,,Co,College,Collège
,,,Dv,Occupational division,Le domaine d' études 
,,,Program,Program,Programme 
,,,Rg,Region,Région
,,,Sy,"System (i.e., province)",Système
,,,,,
S_MTCU,Program code,Code de programme,A-60100,Business Administration - Accounting,Administration des affaires - comptabilité
,,,C-42201,Outdoor Adventure Skills,Connaissances des aventures et des excursions en plein air,,,
,,,C-42203,Rural Recreation,Rural Recreation,,,
,,,C-42206,Recreation - Therapeutic Assistant,Adjoint-ludothéraphie,,,
,,,C-42209,Fundamentals of Fitness Leadership,Introduction à ludothérapie,,,
,,,C-42222,Park Operation Skills,Exploitation de parc naturel,,,
,,,C-42304,Customer Service Fundamentals - Insurance,Principes fondamentaux du service à la clientèle-assurance,,,
,,,C-42305,Court Reporting - Stenomask,Soutien technique pour tribunal,,,
,,,C-42308,Office Administration - Medical - 1 year,Administration de bureau - médical - 1 an,,,
,,,C-42309,Office Administration-animal Care Services,Administration de bureau- soins animaliers,,,
,,,C-42313,Office Administration - General,Administration de bureau - commis,,,
,,,C-42317,Medical Transcriptionist - Health Records,Transcription médicale - dossiers de santé,,,
,,,C-42320,Dental Office Administration,Administration d'un cabinet de dentiste,,,
,,,C-42400,Bookkeeping,Comptabilité,,,
,,,C-42401,Accounting Clerk - Microcomputer,Commis en comptabilité - micro-ordinateur,,,
,,,C-42509,Computer Operator,Opération d'ordinateurs,,,
,,,C-42700,Environmental Techniques,Pratique environnementales,,,
,,,C-42713,Nature Interpreters,Interprétation de la nature,,,
,,,C-42801,Investment Sales Assistant,Aide en vente de valeurs mobilières,,,
,,,C-42905,Call Centre Operator,Opération d'un standard téléphonique,,,
,,,C-42929,Retailing,Vente de détail,,,
,,,C-42936,Sales,Pratique en ventes,,,
,,,C-42937,Cosmetic Sales,Ventes de produits de beauté,,,
,,,C-43001,Protective Security,Protection et sécurité,,,
,,,C-43006,Pre-service Firefighter Education And Training,Pré-formation pour la protection contre les incendies,,,
,,,C-43007,Law And Security - Basic,Loi et sécurité - cours d'introduction,,,
,,,C-43015,Emergency Services Fundamentals,Principes fondamentaux des services d.urgence,,,
,,,C-43106,Baking - Pre-employment,Pâtisserie - pré-emploi,,,
,,,C-43107,Culinary Skills - Chef Training,Arts culinaires,,,
,,,C-43108,Bartending,Service de bar,,,
,,,C-43112,Sommelier - beer,Sommelier . bière,,,
,,,C-43113,Hospitality Foundations - 2 semester,Connaissance fondamentale de l'accueil - 2 semestres,,,
,,,C-43200,Hospitality And Tourism,Accueil et tourisme,,,
,,,C-43201,Food And Beverage Service,Service des aliments et des boissons,,,
,,,C-43203,Food Service Worker,Travailleur des services alimentaires,,,
,,,C-43205,Travel Counsellor,Aide en voyage et en tourisme,,,
,,,C-43217,Ski Area Operations,Pratique d'exploitation d'une station de ski,,,
,,,C-43303,Funeral Pre-Planner,Conseillère ou conseiller en préarrangements funéraires,,,
,,,C-43400,Hairstyling Techniques,Techniques de coiffure,,,
,,,C-43601,Flight Services,Services aériens,,,
,,,C-43901,Retail Florist,Fleuriste,,,
,,,C-43905,Landscape And Horticultural Techniques,Aménagement paysagiste et horticulture,,,
,,,C-43906,Urban Arboriculture,Arboriculture urbaine,,,
,,,C-44203,Forestry Worker,Travail forestier,,,
